Date,Close,High,Low,Open,Volume
2004-06-08,99.69606018066406,101.10023004236355,98.29189031896456,98.29189031896456,499150000
2004-06-09,101.10027313232422,102.50444359249538,98.29193221198187,99.69610267215305,294290000
2004-06-10,101.10027313232422,101.10027313232422,99.69610267215305,101.10027313232422,165590000
2004-06-11,101.10027313232422,101.10027313232422,99.69610267215305,99.69610267215305,135830000
2004-06-14,99.69606018066406,101.10023004236355,98.29189031896456,101.10023004236355,158540000
2004-06-15,102.50440979003906,102.50440979003906,98.2918997986676,98.2918997986676,297620000
2004-06-16,101.10027313232422,102.50444359249538,99.69610267215305,102.50444359249538,104270000
2004-06-17,99.69606018066406,99.69606018066406,98.29189031896456,99.69606018066406,350150000
2004-06-18,99.69606018066406,99.69606018066406,98.29189031896456,98.29189031896456,263260000
2004-06-21,99.69606018066406,99.69606018066406,98.29189031896456,99.69606018066406,331870000
2004-06-22,99.69606018066406,101.10023004236355,99.69606018066406,99.69606018066406,56870000
2004-06-23,101.10027313232422,101.10027313232422,99.69610267215305,101.10027313232422,469190000
2004-06-24,101.10027313232422,101.10027313232422,99.69610267215305,101.10027313232422,191310000
2004-06-25,102.50440979003906,102.50440979003906,101.10023979291525,101.10023979291525,154310000
2004-06-28,102.50440979003906,102.50440979003906,101.10023979291525,102.50440979003906,260860000
2004-06-29,103.90858459472656,103.90858459472656,102.50441453263566,102.50441453263566,123060000
2004-06-30,105.31277465820312,105.31277465820311,102.50443400065103,103.90860432942708,291260000
2004-07-01,113.29104614257812,114.88669467979753,111.6953976053587,114.88669467979753,203090000
2004-07-02,114.88665771484375,114.88665771484375,113.29100969102647,113.29100969102647,490800000
2004-07-05,114.88665771484375,114.88665771484375,114.88665771484375,114.88665771484375,0
2004-07-06,119.673583984375,119.67358398437499,114.886640625,116.48228841145833,826610000
2004-07-07,119.673583984375,121.26923177083333,116.48228841145833,118.07793619791666,382570000
2004-07-08,119.673583984375,121.26923177083333,118.07793619791666,119.67358398437499,284740000
2004-07-09,121.2692642211914,121.26926422119139,118.07796779431794,118.07796779431794,381140000
2004-07-12,121.2692642211914,124.46056064806486,119.67361600775467,121.26926422119139,478410000
2004-07-13,122.86490631103516,122.86490631103516,119.67361004321606,121.26925817712561,133420000
